title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count
Spectre,2015-10-26,148,245000000,880674609,107.376788,6.3,4466
Tangled,2010-11-24,100,260000000,591794936,48.681969,7.4,3330
Avengers: Age of Ultron,2015-04-22,141,280000000,1405403694,134.279229,7.3,6767
Harry Potter and the Half-Blood Prince,2009-07-07,153,250000000,933959197,98.885637,7.4,5293
Batman v Superman: Dawn of Justice,2016-03-23,151,250000000,873260194,155.790452,5.7,7004
Superman Returns,2006-06-28,154,270000000,391081192,57.925623,5.4,1400
Quantum of Solace,2008-10-30,106,200000000,586090727,107.928811,6.1,2965
The Lone Ranger,2013-07-03,149,255000000,89289910,49.046956,5.9,2311
The Avengers,2012-04-25,143,220000000,1519557910,144.448633,7.4,11776
Men in Black 3,2012-05-23,106,225000000,624026776,52.035179,6.2,4160
The Hobbit: The Battle of the Five Armies,2014-12-10,144,250000000,956019788,120.965743,7.1,4760
The Amazing Spider-Man,2012-06-27,136,215000000,752215857,89.866276,6.5,6586
The Hobbit: The Desolation of Smaug,2013-12-11,161,250000000,958400000,94.370564,7.6,4524
The Golden Compass,2007-12-04,113,180000000,372234864,42.990906,5.8,1303
Captain America: Civil War,2016-04-27,147,250000000,1153304495,198.372395,7.1,7241
Battleship,2012-04-11,131,209000000,303025485,64.928382,5.5,2114
Jurassic World,2015-06-09,124,150000000,1513528810,418.708552,6.5,8662
Monsters University,2013-06-20,104,200000000,743559607,89.186492,7,3528
Transformers: Revenge of the Fallen,2009-06-19,150,150000000,836297228,21.939663,6,3138
The Amazing Spider-Man 2,2014-04-16,142,200000000,705717432,89.270217,6.5,4179
TRON: Legacy,2010-12-10,125,170000000,400062763,73.79505,6.3,2841
Cars 2,2011-06-11,106,200000000,559852396,49.98659,5.8,2033
Green Lantern,2011-06-16,,200000000,219851172,51.872839,5.1,2487
Toy Story 3,2010-06-16,,200000000,1066969703,59.995418,7.6,4597
Terminator Salvation,2009-05-20,,200000000,371353001,71.862892,5.9,2463
Furious 7,2015-04-01,,190000000,1506249360,102.322217,7.3,4176
Star Trek Into Darkness,2013-05-05,,190000000,467365246,78.291018,7.4,4418
Jack the Giant Slayer,2013-02-27,,195000000,197687603,43.349855,5.5,2598
The Great Gatsby,2013-05-10,,105000000,351040419,61.196071,7.3,3769
Prince of Persia: The Sands of Time,2010-05-19,,150000000,335154643,62.169881,6.2,2317
Pacific Rim,2013-07-11,,180000000,407602906,56.523205,6.7,4794
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,,185000000,786636033,75.674458,5.7,2495
The Good Dinosaur,2015-11-14,,175000000,331926147,51.692953,6.6,1736
Brave,2012-06-21,,185000000,538983207,125.114374,6.7,4641
A Christmas Carol,2009-11-04,,200000000,325233863,39.744242,6.6,1095
The Legend of Tarzan,2016-06-29,,180000000,356743061,42.741719,5.5,2430
X-Men: Apocalypse,2016-05-18,,178000000,543934787,139.272042,6.4,4721
The Dark Knight,2008-07-16,,185000000,1004558444,187.322927,8.2,12002
Up,2009-05-13,,175000000,735099082,92.201962,7.7,6870
Monsters vs Aliens,2009-03-19,,175000000,381509870,36.167578,6,1423
Hugo,2011-11-22,,170000000,185770160,32.319043,7,2141
Evan Almighty,2007-06-09,,175000000,173000000,27.082182,5.3,1151
Waterworld,1995-07-28,,175000000,264218220,44.640292,5.9,992
G.I. Joe: The Rise of Cobra,2009-08-04,,175000000,302469017,32.852443,5.6,1962
Inside Out,2015-06-09,,175000000,857611174,128.655964,8,6560
The Jungle Book,2016-04-07,,175000000,966550600,94.199316,6.7,2892
Iron Man 2,2010-04-28,,200000000,623933331,77.300194,6.6,6849
Snow White and the Huntsman,2012-05-30,,170000000,396600000,77.178973,5.8,3118
Dawn of the Planet of the Apes,2014-06-26,,170000000,710644566,243.791743,7.3,4410
Tomorrowland,2015-05-19,,190000000,209154322,130.311355,6.2,2846
Independence Day: Resurgence,2016-06-22,,165000000,389681935,48.775723,4.9,2491
Shin Godzilla,2016-07-29,,15000000,77000000,9.476999,6.5,143
The Fast and the Furious,2001-06-22,,38000000,207283925,6.909942,6.6,3428
The Curious Case of Benjamin Button,2008-11-24,,150000000,333932083,60.269279,7.3,3292
Shrek the Third,2007-05-17,,160000000,798958165,42.986467,6,2278
Warcraft,2016-05-25,,160000000,433677183,63.148529,6.3,2268
Pearl Harbor,2001-05-21,,140000000,449220945,34.20669,6.6,1791
Transformers,2007-06-27,,150000000,709709780,25.468493,6.6,4040
Alexander,2004-11-21,,155000000,167298192,39.019229,5.6,927
Harry Potter and the Order of the Phoenix,2007-06-28,,150000000,938212738,78.144395,7.4,5494
Harry Potter and the Goblet of Fire,2005-11-05,,150000000,895921036,101.250416,7.5,5608
Charlie and the Chocolate Factory,2005-07-13,,150000000,474968763,53.905592,6.7,3624
Ratatouille,2007-06-22,,150000000,623722818,65.677399,7.5,4369
Batman Begins,2005-06-10,,150000000,374218673,115.040024,7.5,7359
Madagascar: Escape 2 Africa,2008-10-30,,150000000,603900354,44.141021,6.2,1810
The Matrix Revolutions,2003-11-05,,150000000,424988211,73.313918,6.4,3096
Frozen,2013-11-27,,150000000,1274219009,165.125366,7.3,5295
Mad Max: Fury Road,2015-05-13,,150000000,378858340,434.278564,7.2,9427
Angels & Demons,2009-05-13,,150000000,356613439,67.447636,6.5,2129
Thor,2011-04-21,,150000000,449326618,86.493424,6.6,6525
Bolt,2008-11-21,,150000000,309979994,41.845878,6.3,1750
Mission: Impossible - Rogue Nation,2015-07-23,,150000000,682330139,114.522237,7.1,3224
The Wolfman,2010-02-11,,150000000,0,21.214571,5.5,549
The Last Airbender,2010-06-30,,150000000,318502923,33.769336,4.7,1151
Mission: Impossible III,2006-05-03,,150000000,397850012,63.079003,6.5,2028
Mars Needs Moms,2011-03-09,,150000000,38992758,12.362599,5.5,199
Pan,2015-09-24,,150000000,128388320,48.03528,5.9,954
Die Another Day,2002-11-17,,140000000,431971116,54.159392,5.8,1092
Armageddon,1998-07-01,,140000000,553799566,58.485967,6.4,2482
Men in Black II,2002-07-03,,140000000,441818803,91.332849,6,3114
